,Unnamed: 0,placeID,name,vicinity,lat,lng,types,place_type_1,place_type_2
0,0,ChIJdR3LEAHKJIgR0sS5NU6Gdlc,Detroit,Detroit,42.33142699999999,-83.0457538,"['locality', 'political']",[,'
1,1,ChIJWb7lLO0yO4gRSZdONND8MYs,Credit Union ONE,"5601 Eldred Street, Detroit",42.315878999999995,-83.1007071,"['finance', 'point_of_interest', 'establishment']",[,'
2,2,ChIJgywRpPIyO4gRr3NE6fEgTzM,El Club Adjacent,"1454 Campbell Street, Detroit",42.31387410000001,-83.1014941,"['lodging', 'point_of_interest', 'establishment']",[,'
3,3,ChIJDXYwROwyO4gRGedWuDSOnak,Nuestro Medio,"1934 Campbell Street, Detroit",42.3153869,-83.10238520000001,"['health', 'point_of_interest', 'establishment']",[,'
4,4,ChIJEUI8O-0yO4gR_7tZqAflxBs,MATRIX HEAD START,"1711 Junction Street, Detroit",42.3160025,-83.10144489999998,"['school', 'point_of_interest', 'establishment']",[,'
5,5,ChIJXbwgXo0yO4gRx3-x2Wt2yBc,Detroit Object,Detroit,42.3138776,-83.09921259999999,"['point_of_interest', 'establishment']",[,'
6,6,ChIJLVZjypIyO4gR9PB-_UW8D5Y,Lena's Market,"1503 Junction Street, Detroit",42.3154301,-83.10035040000001,"['grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",[,'
7,7,ChIJfes_3ewzO4gRPkzvxFH0_rI,Engine House 27,"1467 Junction Street, Detroit",42.314704299999995,-83.09983790000001,"['point_of_interest', 'establishment']",[,'
8,8,ChIJg4MYyZIyO4gRlioL5wR6FCQ,Junction & Christiancy,United States,42.3155985,-83.100077,"['transit_station', 'point_of_interest', 'establishment']",[,'
9,9,ChIJk_7cyZIyO4gRlwZ5lQ2RqeE,Junction & Christiancy,United States,42.31540200000001,-83.10011999999998,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",[,'
10,10,ChIJYRpyuZIyO4gRWU2nrbQlV_4,Blue Water Pool Service and Repair,"1482 Junction Street, Detroit",42.3151115,-83.09960790000001,"['store', 'point_of_interest', 'establishment']",[,'
11,11,ChIJ9RADz5IyO4gRDJib-hgpoNM,Junction & Christiancy,United States,42.315795,-83.100034,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",[,'
